title,imdb_id,file,dir,synopsis,year,link,clean_title
An Unforgettable Year â€“ Summer,27579804,5971_An_Unforgettable_Year__Summer,com,"In order to study fashion in so-desired Paris, a young country girl who hates Carnival travels to Rio de Janeiro to try to get support from the most famous designer in Brazil. Set on sneaking into the sewing team of one of the biggest samba schools, she will discover that Carnival only lasts for a week, but a love story can change her entire life.",2023.0,/Unforgettable-Year-Summer-L%C3%ADvia-Inhudes/dp/B0BZHZDGP9/ref=sr_1_1204?qid=1689192957&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-1204,An_Unforgettable_Year_aEUR_Summer
An Unforgettable Year â€“ Spring,27805182,6138_An_Unforgettable_Year__Spring,com,"When she's about to fail in math â€“ the subject she hates the most, Jasmine has to take booster classes with a cute young tutor, but who breathes numbers in everything he does. Facing family pressure and embarking on a risky love, she'll need to overcome her fears and limitations to pursue her true dream: be an artist.",2023.0,/Unforgettable-Year-Spring-L%C3%ADvia-Silva/dp/B0B73M7RBC/ref=sr_1_1355?qid=1689192973&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-1355,An_Unforgettable_Year_aEUR_Spring
LUPIN THE 3rd vs. CATâ€™S EYE,22192398,1234_LUPIN_THE_3rd_vs_CATS_EYE,com,"Hitomi, Rui, and Ai are sisters and cat burglars. They steal a painting from a museum around the same time Lupin the 3rd appears to steal another painting himself. Both paintings are part of Michael Heinzâ€™s series titled the Girl and the Flowers. To the girls, the paintings are clues for their missing father's whereabouts. When they learn Lupin is after the same target, a fire lights inside them.",2023.0,/LUPIN-3rd-vs-CATS-EYE/dp/B0B7G78KNV/ref=sr_1_2691?qid=1689193146&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2691,LUPIN_THE_3rd_vs_CATaEURtmS_EYE
Alan Partridge â€“ Stratagem,15570744,1390_Alan_Partridge__Stratagem,com,"Devised, written, choreographed, performed and funded by Alan Partridge, Stratagem sees Alan not just treading the boards but pounding them, atop stages graced by such luminaries as Michael Ball, Jack Whitehall and Welsh rockers the Stereophonics.",2023.0,/Alan-Partridge-Stratagem-Steve-Coogan/dp/B0B786S6BZ/ref=sr_1_2831?qid=1689193161&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-2831,Alan_Partridge_aEUR_Stratagem
Motherâ€™s Day is Cancelled,27489169,4097_Mothers_Day_is_Cancelled,com,"Lidia and Manuel are a newlywed couple whose families have only met once. Now, they get together again to celebrate Motherâ€™s Day. But there is a secret in the family that as soon as it explodes, will change it all. Esmeralda and Rosa must lean on each other to get through the day that seems to have something against them. They both will realize that maybe it is better to send everything to hell.",2023.0,/Mothers-Day-Cancelled-Gala-Montes/dp/B0B6HQ4KR2/ref=sr_1_514?qid=1689192880&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-514,MotheraEURtms_Day_is_Cancelled
Unacknowledged: An  Expose of the World's Greatest Secret,6400614,4278_Unacknowledged_An_Expose_of_the_Worlds_Greatest_Secret,com,"Dr. Steven Greer present brand new, top secret evidence supporting Extraterrestrial contact including witness testimony, classified documents, and UFO footage while also exploring the consequences of ruthlessly enforcing such secrecy.",2017.0,/Unacknowledged-Expos%C3%A9-Worlds-Greatest-Secret/dp/B071Y37JL7/ref=sr_1_535?qid=1689192882&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-535,Unacknowledged_An__Expose_of_the_Worlds_Greatest_Secret
Los sonÃ¡mbulos,10899680,435_Los_sonambulos,com,"A woman, and her 14 year-old daughter, a sleepwalker in the teenage awakening. A ritualistic and endogamic family: grandmother, siblings, and cousins. Summer, sweat, alcohol, naked bodies.",2019.0,/Los-son%C3%A1mbulos-%C3%89rica-Rivas/dp/B0918B8HTT/ref=sr_1_1956?qid=1689193053&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-1956,Los_sonAmbulos
MedellÃ­n,27714278,1778_Medellin,com,"Brahim, a young youtuber is kidnapped by the narcos in Colombia. His brother RÃ©da convinces his friends Stan and Chafik to come with him on a rescue mission. The situation there gets out of hand. With the help of a Colombian cop and a former American agent, they manage to track down Brahim in an attempt to get him out of the narcosâ€™ clutches.",2023.0,/Medell%C3%ADn-Franck-Gastambide/dp/B0B8N8QG13/ref=sr_1_19?qid=1689245142&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-19,MedellAn
THEREâ€™S SOMETHING ABOUT MARIO,10573946,2169_THERES_SOMETHING_ABOUT_MARIO,com,"Mario is a 30 years old man and he decides to visit your family. His father is from a traditional family and Mario will tell him that heâ€™s working as a writer and living with his boyfriend, Fernando. A lot of surprises change Marioâ€™s plans and he falls in love with Ana, a consultant hired by Marioâ€™s brother, Vicente, to help to improve familyâ€™s beer factory.",2021.0,/THERES-SOMETHING-ABOUT-MARIO-Daniel/dp/B09BJ384C3/ref=sr_1_3514?qid=1689193259&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-3514,THEREaEURtmS_SOMETHING_ABOUT_MARIO
The Boy From MedellÃ­n,13009186,2171_The_Boy_From_Medellin,com,J Balvin is THE BOY FROM MEDELLIN. From Academy AwardÂ® nominated and Emmy-winning director Matthew Heineman comes a portrait of one of the biggest international superstars of our time. The film follows the four-time Latin Grammy winner as he prepares for the most important concert of his life.,2021.0,/Boy-Medell%C3%ADn-Matthew-Heineman/dp/B08Y9FJCXH/ref=sr_1_3516?qid=1689193259&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-3516,The_Boy_From_MedellAn
S.O.S Mamis: La PelÃ­cula,18327658,2397_SOS_Mamis_La_Pelicula,com,"Trini's daughter is sad that her best friend is leaving Saint Michael School since her mother can't keep paying for it. Trini promises her daughter that this won't happen and decides to put together a plan with the other ""mamis"" of the group to solve the problem. But this mission will be much more difficult than they thought and they will have to stick together as a group.",2022.0,/S-S-Mamis-Paz-Bascu%C3%B1%C3%A1n/dp/B09PRS5LYH/ref=sr_1_3726?qid=1689193284&refinements=p_n_ways_to_watch%3A12007865011%2Cp_n_entity_type%3A14069184011&rnid=14069183011&s=instant-video&sr=1-3726,SOS_Mamis_La_PelAcula
